"url","name","location","rating","review"
"http://www.ulta.com/illuminance-creme-shadow?productId=42294","Flathair","Canton CT",5,"I actually bought this thinking it was a powder.  I was looking for a lavender cream and had few choices. This is a perfect palette for green eyes."
"http://www.ulta.com/illuminance-creme-shadow?productId=42294","Beauty buff","Columbus, Ms",4,"Compact is hard to open."
"http://www.ulta.com/illuminance-creme-shadow?productId=42294","kcherer","Billings, MT",5,"I'm not sure if this product behaves differently in humidity, but for me creasing is not an issue.  You simply apply a light layer of eye shadow over the cr&egrave;me and you've got color that lasts all day long. I especially love nudes or naturals because you can pair them with some sparkle without getting shiny dust all over the place.  I never use just powders now, this is always on underneath"
"http://www.ulta.com/illuminance-creme-shadow?productId=42294","Jade","New York",4,"The creme is so smooth and blends wonderfully, and the colors are beautiful. My only regret is that it creases every time. Wonderful product overall."
"http://www.ulta.com/illuminance-creme-shadow?productId=42294","Tammey","Spartanburg sc",4,"I love cream shadows"
"http://www.ulta.com/illuminance-creme-shadow?productId=42294","MawMaw","House Springs MO",5,"I love to layer the colors"
"http://www.ulta.com/illuminance-creme-shadow?productId=42294","Vic","Wylie, TX",5,"easy application-long wearing"
"http://www.ulta.com/illuminance-creme-shadow?productId=42294","Karyn","Cedar Rapids, IA",5,"Used for my daughter for stage performance, went on beautifully.  The color was gorgeous.  I would actually have her wear softer shades for every day."
"http://www.ulta.com/illuminance-creme-shadow?productId=42294","laney","pittsburgh pa",5,"I use the nude palette and its fantastic! I love how the color stays on!"
"http://www.ulta.com/illuminance-creme-shadow?productId=42294","Sar","Pittsburg",1,"This didn't last 10 minutes on my eye lid because it way to soft and smooth, you need a dryer formula for the eyeshadow to stay on the lid and not crease."
"http://www.ulta.com/illuminance-creme-shadow?productId=42294","Barb","Strongsville OH",4,"Creamy eye shadow is the only kind I use - eliminates irritation from flaking.  This also cleans off easily."
"http://www.ulta.com/illuminance-creme-shadow?productId=42294","Kate","Pittsburgh, PA",1,"I was looking for cream eyeshadows that would last, and decided to give it a try. I got palette Seashells, and these colors are beautiful! However, I cannot wear them: they crease in less than an hour! Used it on a bear eyelid - creases, used it on a powdered eyelid - creases,used it on top of Urban Decay eye primer - still creases, huh! What a shame, Revlon! You created a low quality product and it is still on shelves in stores....<br />Will never buy it again."
"http://www.ulta.com/illuminance-creme-shadow?productId=42294","kcee15","Tulsa, OK",1,"Stingy amts in each pot, not true colors and doesn't last."
"http://www.ulta.com/illuminance-creme-shadow?productId=42294","Stephanie","Chicago, IL",2,"I used this with Urban Decay's primer potion and it still creases terribly."
"http://www.ulta.com/illuminance-creme-shadow?productId=42294","Palmira's other eyes","Port Chester, NY 10573",3,"It was a little hard to try and blend the shadows. It kept smudging down."
"http://www.ulta.com/illuminance-creme-shadow?productId=42294","Daze bug","Green Bay WI",5,"I love the colors.  They blend well an glide on easily. Have been looking for a cream shadow in these colors for years.  Glad that I found this."
"http://www.ulta.com/illuminance-creme-shadow?productId=42294","Sara","Dayton, OH",5,"I wear this every day! Love it!"
"http://www.ulta.com/illuminance-creme-shadow?productId=42294","ash","broussard louisiana",3,"melts eaisly"
"http://www.ulta.com/illuminance-creme-shadow?productId=42294","Creole Mama","Covington, LA",1,"Bought this to wear to work - great color and fast application.  Problem is it not lasting from the time I apply it to walking out the door.  Very disappointed."
"http://www.ulta.com/illuminance-creme-shadow?productId=42294","LibJen","Denver, CO",5,"I use this as a quick fix, haven't done my make up got to run out the door product.  It applies really easily, you can just dip your finger in the product and apply.  This particular color combination is impossible to screw up and looks wonderful on my eyes either toned up, with mascara and full face, or barebones with just a tinted moisturizer and lip balm."
"http://www.ulta.com/illuminance-creme-shadow?productId=42294","Speedster","Memohis tn",5,"Use this product everyday. Love it"
"http://www.ulta.com/illuminance-creme-shadow?productId=42294","Hkrenke","Appleton, WI",5,"Looks natural"
"http://www.ulta.com/illuminance-creme-shadow?productId=42294","BrowEnvy","KansasCity",5,"I love these creme shadows by Revlon and have them in all the color combinations.  Some reviewers have indicated they crease, however, I apply them over my Urban Decay shadow primer and don't have that problem at all.  You can make the color as natural or intense and you like with nothing but your finger tip.  Great for travel, throwing in your purse on the go, or any day of the week."
"http://www.ulta.com/illuminance-creme-shadow?productId=42294","?","Dallas",5,"Every time I wear this shadow I get complements.  Great for a natural look."
"http://www.ulta.com/illuminance-creme-shadow?productId=42294","Bee Bee","Dearborn Heights",4,"This great since the colors are quite sheer.  You may build up as much or as little as desired."
