"url","name","location","rating","review"
"http://www.ulta.com/eyelash-curler?productId=prod1901084","Vane","Rogers Ar",3,"It was a little hard to use, maybe I got used to my old one"
"http://www.ulta.com/eyelash-curler?productId=prod1901084","Edith","Phoenix",1,"I wanted to save a few bucks. It was not worth it. I have to go buy a new one now even if it's a bit pricey."
"http://www.ulta.com/eyelash-curler?productId=prod1901084","Whitney","Missouri",1,"I didn't think it was possibly for an eyelash curler to not work, but this one does absolutely nothing to my eyelashes. Actually no difference whatsoever. It does look nice though..."
"http://www.ulta.com/eyelash-curler?productId=prod1901084","Kathy","Lufkin,Texas",3,"Affordable"
"http://www.ulta.com/eyelash-curler?productId=prod1901084","goldie","new york",5,"easy curl, no pinching, and works almost as well as much more expensive curlers"
"http://www.ulta.com/eyelash-curler?productId=prod1901084","Tammy","Columbia, SC",3,"The eye lash curler does not fit well for me. The top of it is too big."
"http://www.ulta.com/eyelash-curler?productId=prod1901084","Texas Girl","Corpus Christi , Texas",4,"Really liked it because it gets corner to corner making the eye lashes curl evenly."
"http://www.ulta.com/eyelash-curler?productId=prod1901084","Ytaroz","Clinton Township mi",1,"Do not waste your money doesn't work."
"http://www.ulta.com/eyelash-curler?productId=prod1901084","Janne","Chattanooga, TN",3,"I'm still getting used to this one. My old one curled very well but was just gunked up and I wanted a new one. This one doesn't feel like it gets all my eye lashes and I don't see them curled even when I use my mascara. But, not giving up on it ... it's different from those I've used in the past."
"http://www.ulta.com/eyelash-curler?productId=prod1901084","Kacey","Richmond, TX",5,"It definitely does what it's supposed to do!"
"http://www.ulta.com/eyelash-curler?productId=prod1901084","Yaya","Midland",5,"Great"
"http://www.ulta.com/eyelash-curler?productId=prod1901084","GR","south carolina",4,"as it was meant to be"
"http://www.ulta.com/eyelash-curler?productId=prod1901084","M","Birmingham,AL",5,"This is a great product for anyone looking to spend less than $10 on a lash curler. It does everything I need it to do."
"http://www.ulta.com/eyelash-curler?productId=prod1901084","Brianna","Chicago",4,"I use the product every day to make my lashes curl and so far it works great!"
"http://www.ulta.com/eyelash-curler?productId=prod1901084","Ally","Maple Grove, MN",5,"Curls eyelashes really well but the curl doesn't hold"
"http://www.ulta.com/eyelash-curler?productId=prod1901084","Bouvgal","Port Ludlow, WA",5,"Very pleased with selection"
"http://www.ulta.com/eyelash-curler?productId=prod1901084","Lisa","Las Vegas, NV",5,"Works great! Instructions are wrong, though. Holding it for ten seconds doesn't work at all. I usually hold it for around 20 to get the desired curl. Use mascara with if you want it to hold longer and stand out more!!"
"http://www.ulta.com/eyelash-curler?productId=prod1901084","Ab","Michigan",4,"It curls good. The only thing that I don't like is the silver coating has already peeled (the day of purchasing), but is still functional."
"http://www.ulta.com/eyelash-curler?productId=prod1901084","Andrea","Iowa",5,"This product makes curling my lashes quick and easy. There's nothing bad about this eyelash curler. And yes, it does curl them phenomenally."
