"url","name","location","rating","review"
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","Kayla","Columbus,GG",5,"The colors are great! I have 3."
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","Rachelle","NC",5,"Fits in pocket don't need a mirror to apply"
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","jidi","florida",4,"Its good"
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","Victoria","South Carolina",4,"I use by it self it great"
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","Rebecca the beauty guru","North Haven Ct",5,"I have 2 of these and I just love them! Great color, feel and price! What's not to love?:)"
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","Jay 36","Detroit, Mi",5,"I love this lip gloss. It goes on smooth and even. The applicator is soft. My boyfriend likes the taste and the way it compliments my skin tone."
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","KKRenee","Denton, TX",5,"I like this lip gloss and use it daily.  Love the color I chose and will continue buying more colors. It is good and taste good on my lips too !!"
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","Kerae","Richland",5,"I love this gloss. I bought sky pink because I heard it was a dupe for Turkish delight. It's a pretty milky pink that feels comfortable and lasts s Long time."
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","Susan","Wisconsin",5,"I love the light feel, general wear time, and colour selection of this lip gloss. The container is a little big for a pocket, but it is wonderfully moisturizing which more than makes up for this inconvenience.  I would definitely recommend this product."
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","monivery","Reno, NV",5,"I use this lipgloss all the time!"
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","Kim","Atlanta GA",4,"Love the color and shine"
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","Watch lady","Orlando, Florida",5,"I use this every day. The colors are great, glides on easily and looks super. You do have to reapply several times a day to keep it looking good. Keeps your lips soft."
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","Tree","Downingtown, Pa",5,"I only wish it came in more neutral shades. But I love it, I wear it every day."
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","PatinSpring","Spring, TX",5,"Easy to use.  No mirror needed. No mess."
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","KortneyLaRosa","Wisconsin",3,"I liked the glossy finish and not to overly sticky but I don't mind a sticky lip gloss I was just looking for a gloss that would make my lips look wet, this product sort of does that I feel like you could find something better but I do like its milky pink color it gives and it looks good over other colors, I use this for a very fresh youthful look!"
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","Ms. Rhonda","Chgo, IL",4,"very pretty color."
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","Reem","Newyork",3,"Easy to apply"
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","Sheterra Sanders","Florida",5,"I love these lip glosses. They are Moisturizing and glossy. The remind me of Mac cremesheen without the color payoff. I wish these glosses were more pigmented but everything else about them are fab! Loves it"
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","The Office Flan","Bartlesville, OK",4,"I don't normally like lipglosses, but these are very nice. They are moisturizing and not at all sticky, and the color payoff is pretty good. Much better than many other drugstore lipglosses (I'm looking at you, Covergirl)."
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","Rennyt31","FL",3,"Nice product for a sheer lipgloss. Kinda pricey but you get a lot of product. Clean classic pretty packaging. Very comfortable. Lasts longer than NYX butter lip glosses."
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","Faith","Indianapolis, IN",5,"I bought this product in &quot;Kiss Me Coral&quot;. It is the perfect color for this summer season. Its the perfect shade, not too sheer, but not too bright. I find the formula very moisturizing, and just the right consistency. It doesn't have much of a scent, but this is a plus for me. Overall, it is a great product, and i will most likely be buying more shades in the near future :)"
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","amilly","ma",4,"Not to sparkly,dont let the gold shimmer in tube stop you from buying it,it doesnt show the glitter. A great gloss for the perfect peachy nude lip."
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","ckelly","novi, mi",5,"great color"
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","Busylee","Missouri",2,"I purchased this gloss for the color - a newer, trendy color that is currently hard to find. I thought it would be good going into late summer and fall. The color is called &quot;Raisin&quot; something or other, a rich brownish-brick.<br />However, when I put the gloss on - it is quite sheer. Not what it looks like in the tube. It spreads out to a brighter berry color. Ok, but not what I wanted. I will be returning it."
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","Glam So Sweet","South Florida",5,"I love it."
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","DJ","Virginia Beach, VA",4,"I use the product daily.  It is my &quot;go-to&quot; lip gloss.  I wear it especially when I wear natural earth-tone shades and or colors that go well with peach/orange colors.  (I also like another color from this line that comes in a pinkish shade for when I wear red or pink.)  I wish the color would last longer and not have to be reapplied as often; but I manage with it as it is."
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","Kelly","Ga",4,"Great product"
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","Makeup  lover","Goodyear, AZ",5,"I  fell in love with this liogloss,  and the color is amazing."
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","Nikki","Mankato, mn",3,"To transparent"
"http://www.ulta.com/super-lustrous-lipgloss?productId=xlsImpprod5420011","KJ","Quad Cities, IA",1,"It would have been nice to have opened it."
